$FLYS,1
$VAR,FIRMWARE_VER,v2024.06.09.starter_pistol
$VAR,DEVICE_ID,0017003b3253501720373657
$VAR,SESSION_ID,3ee6304fa45e4bac03d2783d
$COL,GNSS,time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc
$UNIT,GNSSdeg,deg,m,m/s,m/s,m/s,m,m,m/s
$GNSS,2025-07-29T15:21:44.900Z,40.2682918,-111.6351696,1683.893,3.29,-8.91,4.79,0.365,0.602,0.21
$GNSS,2025-07-29T15:21:44.950Z,40.2682931,-111.635175,1683.669,3.16,-9.18,4.77,0.364,0.603,0.2
$GNSS,2025-07-29T15:21:45.000Z,40.2682946,-111.6351802,1683.467,3.27,-8.87,4.55,0.364,0.603,0.2
$GNSS,2025-07-29T15:21:45.050Z,40.268296,-111.6351853,1683.255,3.32,-8.73,4.51,0.364,0.603,0.2
$GNSS,2025-07-29T15:21:45.100Z,40.2682975,-111.6351904,1683.021,3.26,-8.66,4.66,0.363,0.603,0.2
$GNSS,2025-07-29T15:21:45.150Z,40.268299,-111.6351955,1682.758,3.2,-8.72,4.82,0.363,0.603,0.18
$GNSS,2025-07-29T15:21:45.200Z,40.2683005,-111.6352008,1682.513,3.19,-8.9,4.82,0.363,0.603,0.19
$GNSS,2025-07-29T15:21:45.250Z,40.2683019,-111.6352062,1682.274,3.19,-9.18,4.85,0.363,0.605,0.22
$GNSS,2025-07-29T15:21:45.300Z,40.2683033,-111.6352116,1682.019,3.09,-9.2,5.02,0.364,0.605,0.23
$GNSS,2025-07-29T15:21:45.350Z,40.2683048,-111.6352169,1681.77,3.23,-9.01,5.05,0.364,0.606,0.23
$GNSS,2025-07-29T15:21:45.400Z,40.2683063,-111.6352222,1681.494,3.29,-8.96,5.1,0.364,0.605,0.2
$GNSS,2025-07-29T15:21:45.450Z,40.2683078,-111.6352275,1681.176,3.16,-9.03,5.4,0.363,0.603,0.18
$GNSS,2025-07-29T15:21:45.500Z,40.2683092,-111.6352329,1680.902,3.14,-9.16,5.46,0.362,0.602,0.18
$GNSS,2025-07-29T15:21:45.550Z,40.2683107,-111.6352384,1680.607,3.26,-9.28,5.51,0.36,0.6,0.18
$GNSS,2025-07-29T15:21:45.600Z,40.2683122,-111.6352438,1680.329,3.22,-9.23,5.56,0.359,0.6,0.17
$GNSS,2025-07-29T15:21:45.650Z,40.2683137,-111.6352493,1680.059,3.28,-9.28,5.64,0.358,0.6,0.18
$GNSS,2025-07-29T15:21:45.700Z,40.2683151,-111.6352548,1679.78,3.17,-9.3,5.73,0.357,0.598,0.18
$GNSS,2025-07-29T15:21:45.750Z,40.2683166,-111.6352604,1679.483,3.18,-9.52,5.76,0.356,0.597,0.18
$GNSS,2025-07-29T15:21:45.800Z,40.268318,-111.6352661,1679.171,3.19,-9.56,5.81,0.355,0.596,0.18
$GNSS,2025-07-29T15:21:45.850Z,40.2683196,-111.6352716,1678.834,3.28,-9.46,5.95,0.355,0.594,0.18
$GNSS,2025-07-29T15:21:45.900Z,40.2683211,-111.6352771,1678.516,3.29,-9.41,5.98,0.354,0.593,0.19
$GNSS,2025-07-29T15:21:45.950Z,40.2683227,-111.6352827,1678.185,3.38,-9.5,6.04,0.353,0.592,0.19
$GNSS,2025-07-29T15:21:46.000Z,40.2683244,-111.6352883,1677.852,3.49,-9.48,6.05,0.353,0.59,0.19
$GNSS,2025-07-29T15:21:46.050Z,40.2683261,-111.6352939,1677.514,3.58,-9.58,6.14,0.352,0.589,0.19
$GNSS,2025-07-29T15:21:46.100Z,40.2683277,-111.6352995,1677.165,3.46,-9.61,6.29,0.352,0.587,0.2
$GNSS,2025-07-29T15:21:46.150Z,40.2683293,-111.6353053,1676.841,3.47,-9.68,6.27,0.351,0.588,0.19
$GNSS,2025-07-29T15:21:46.200Z,40.2683308,-111.635311,1676.516,3.53,-9.69,6.37,0.351,0.588,0.19
$GNSS,2025-07-29T15:21:46.250Z,40.2683325,-111.6353168,1676.199,3.63,-9.82,6.42,0.351,0.588,0.19
$GNSS,2025-07-29T15:21:46.300Z,40.268334,-111.6353228,1675.884,3.62,-10,6.38,0.35,0.588,0.19
$GNSS,2025-07-29T15:21:46.350Z,40.2683357,-111.6353287,1675.547,3.56,-10.05,6.45,0.35,0.589,0.19
$GNSS,2025-07-29T15:21:46.400Z,40.2683373,-111.6353347,1675.223,3.58,-10.22,6.4,0.35,0.589,0.19
$GNSS,2025-07-29T15:21:46.450Z,40.2683389,-111.6353408,1674.891,3.57,-10.26,6.46,0.35,0.588,0.19
$GNSS,2025-07-29T15:21:46.500Z,40.2683405,-111.6353469,1674.562,3.64,-10.36,6.62,0.35,0.587,0.19
$GNSS,2025-07-29T15:21:46.550Z,40.2683421,-111.635353,1674.221,3.64,-10.35,6.7,0.349,0.586,0.18
$GNSS,2025-07-29T15:21:46.600Z,40.2683437,-111.6353592,1673.886,3.6,-10.47,6.66,0.349,0.585,0.18
$GNSS,2025-07-29T15:21:46.650Z,40.2683454,-111.6353654,1673.532,3.66,-10.53,6.74,0.349,0.584,0.18
$GNSS,2025-07-29T15:21:46.700Z,40.2683471,-111.6353717,1673.188,3.78,-10.58,6.74,0.349,0.584,0.18
$GNSS,2025-07-29T15:21:46.750Z,40.2683488,-111.6353779,1672.837,3.76,-10.58,6.78,0.348,0.583,0.18
$GNSS,2025-07-29T15:21:46.800Z,40.2683505,-111.6353842,1672.494,3.7,-10.65,6.79,0.348,0.582,0.18
$GNSS,2025-07-29T15:21:46.850Z,40.2683521,-111.6353905,1672.149,3.58,-10.63,6.84,0.348,0.581,0.17
$GNSS,2025-07-29T15:21:46.900Z,40.2683538,-111.6353968,1671.803,3.75,-10.69,6.9,0.348,0.58,0.17
$GNSS,2025-07-29T15:21:46.950Z,40.2683555,-111.6354031,1671.453,3.71,-10.76,6.93,0.348,0.579,0.17
$GNSS,2025-07-29T15:21:47.000Z,40.2683571,-111.6354095,1671.093,3.7,-10.74,6.94,0.347,0.578,0.17
$GNSS,2025-07-29T15:21:47.050Z,40.2683589,-111.6354158,1670.734,3.78,-10.8,6.94,0.347,0.577,0.17
$GNSS,2025-07-29T15:21:47.100Z,40.2683605,-111.6354223,1670.378,3.63,-10.9,6.96,0.347,0.577,0.17
$GNSS,2025-07-29T15:21:47.150Z,40.2683622,-111.6354287,1670.012,3.65,-10.95,7.07,0.347,0.576,0.17
$GNSS,2025-07-29T15:21:47.200Z,40.2683638,-111.6354352,1669.665,3.66,-10.95,7.12,0.346,0.575,0.16
$GNSS,2025-07-29T15:21:47.250Z,40.2683653,-111.6354418,1669.329,3.48,-11.04,7.13,0.346,0.574,0.16
$GNSS,2025-07-29T15:21:47.300Z,40.2683668,-111.6354484,1669.007,3.54,-11.11,7.08,0.345,0.573,0.16
$GNSS,2025-07-29T15:21:47.350Z,40.2683682,-111.635455,1668.672,3.29,-11.21,7.11,0.345,0.573,0.16
$GNSS,2025-07-29T15:21:47.400Z,40.2683696,-111.6354617,1668.342,3.27,-11.32,7.15,0.344,0.572,0.16
$GNSS,2025-07-29T15:21:47.450Z,40.2683709,-111.6354684,1668.004,3.05,-11.31,7.16,0.344,0.572,0.16
$GNSS,2025-07-29T15:21:47.500Z,40.2683722,-111.6354751,1667.641,2.85,-11.35,7.16,0.344,0.572,0.17
$GNSS,2025-07-29T15:21:47.550Z,40.2683734,-111.6354818,1667.27,2.81,-11.44,7.26,0.345,0.573,0.17
$GNSS,2025-07-29T15:21:47.600Z,40.2683746,-111.6354886,1666.91,2.69,-11.47,7.29,0.345,0.574,0.17
$GNSS,2025-07-29T15:21:47.650Z,40.2683757,-111.6354954,1666.54,2.48,-11.51,7.32,0.345,0.574,0.16
$GNSS,2025-07-29T15:21:47.700Z,40.2683768,-111.6355022,1666.167,2.34,-11.55,7.32,0.345,0.575,0.16
$GNSS,2025-07-29T15:21:47.750Z,40.2683778,-111.635509,1665.792,2.19,-11.59,7.35,0.344,0.574,0.17
$GNSS,2025-07-29T15:21:47.800Z,40.2683786,-111.6355158,1665.42,2,-11.52,7.35,0.344,0.574,0.17
$GNSS,2025-07-29T15:21:47.850Z,40.2683794,-111.6355226,1665.037,1.88,-11.61,7.5,0.343,0.573,0.17
$GNSS,2025-07-29T15:21:47.900Z,40.2683801,-111.6355295,1664.658,1.67,-11.69,7.57,0.342,0.573,0.17
$GNSS,2025-07-29T15:21:47.950Z,40.2683808,-111.6355363,1664.263,1.58,-11.63,7.66,0.341,0.573,0.17
$GNSS,2025-07-29T15:21:48.000Z,40.2683813,-111.6355431,1663.88,1.3,-11.68,7.78,0.34,0.572,0.17
$GNSS,2025-07-29T15:21:48.050Z,40.2683817,-111.63555,1663.481,1.15,-11.69,7.91,0.339,0.571,0.18
$GNSS,2025-07-29T15:21:48.100Z,40.2683821,-111.6355569,1663.082,1,-11.78,7.97,0.338,0.57,0.18
$GNSS,2025-07-29T15:21:48.150Z,40.2683824,-111.6355638,1662.693,0.81,-11.79,8.07,0.337,0.569,0.18
$GNSS,2025-07-29T15:21:48.200Z,40.2683825,-111.6355707,1662.302,0.63,-11.88,8.14,0.336,0.568,0.17
$GNSS,2025-07-29T15:21:48.250Z,40.2683826,-111.6355776,1661.884,0.36,-11.85,8.21,0.335,0.567,0.16
$GNSS,2025-07-29T15:21:48.300Z,40.2683826,-111.6355845,1661.457,0.12,-11.86,8.34,0.334,0.566,0.16
$GNSS,2025-07-29T15:21:48.350Z,40.2683825,-111.6355914,1661.022,-0.1,-11.92,8.53,0.333,0.564,0.16
$GNSS,2025-07-29T15:21:48.400Z,40.2683823,-111.6355983,1660.578,-0.36,-11.9,8.6,0.332,0.563,0.17
$GNSS,2025-07-29T15:21:48.450Z,40.268382,-111.6356052,1660.128,-0.62,-11.82,8.58,0.332,0.561,0.16
$GNSS,2025-07-29T15:21:48.500Z,40.2683816,-111.635612,1659.677,-0.85,-11.84,8.71,0.331,0.56,0.16
$GNSS,2025-07-29T15:21:48.550Z,40.2683811,-111.635619,1659.219,-1.1,-11.92,8.85,0.33,0.559,0.16
$GNSS,2025-07-29T15:21:48.600Z,40.2683804,-111.6356258,1658.74,-1.46,-11.83,8.97,0.329,0.558,0.17
$GNSS,2025-07-29T15:21:48.650Z,40.2683796,-111.6356327,1658.262,-1.73,-11.8,9.05,0.329,0.557,0.17
$GNSS,2025-07-29T15:21:48.700Z,40.2683787,-111.6356396,1657.79,-2,-11.84,9.13,0.328,0.556,0.17
$GNSS,2025-07-29T15:21:48.800Z,40.2683764,-111.6356533,1656.849,-2.65,-11.69,9.27,0.329,0.556,0.18
$GNSS,2025-07-29T15:21:48.850Z,40.268375,-111.6356602,1656.368,-2.96,-11.71,9.29,0.328,0.555,0.17
$GNSS,2025-07-29T15:21:48.900Z,40.2683736,-111.6356671,1655.885,-3.2,-11.66,9.42,0.328,0.554,0.17
$GNSS,2025-07-29T15:21:48.950Z,40.2683719,-111.6356738,1655.392,-3.56,-11.52,9.51,0.327,0.553,0.17
$GNSS,2025-07-29T15:21:49.000Z,40.2683701,-111.6356805,1654.89,-3.9,-11.47,9.65,0.327,0.552,0.17
$GNSS,2025-07-29T15:21:49.050Z,40.2683682,-111.6356873,1654.377,-4.21,-11.48,9.73,0.327,0.552,0.17
$GNSS,2025-07-29T15:21:49.100Z,40.2683662,-111.6356939,1653.863,-4.53,-11.32,9.79,0.326,0.551,0.17
$GNSS,2025-07-29T15:21:49.150Z,40.268364,-111.6357005,1653.343,-4.86,-11.28,9.89,0.326,0.55,0.17
$GNSS,2025-07-29T15:21:49.200Z,40.2683617,-111.6357071,1652.825,-5.1,-11.16,9.93,0.325,0.549,0.17
$GNSS,2025-07-29T15:21:49.250Z,40.2683591,-111.6357136,1652.313,-5.5,-11.09,9.98,0.325,0.548,0.17
$GNSS,2025-07-29T15:21:49.300Z,40.2683564,-111.63572,1651.791,-5.93,-10.98,10.12,0.325,0.547,0.17
$GNSS,2025-07-29T15:21:49.350Z,40.2683536,-111.6357264,1651.27,-6.2,-10.83,10.11,0.324,0.546,0.17
$GNSS,2025-07-29T15:21:49.400Z,40.2683507,-111.6357326,1650.738,-6.41,-10.7,10.15,0.324,0.545,0.17
$GNSS,2025-07-29T15:21:49.450Z,40.2683477,-111.6357389,1650.197,-6.74,-10.6,10.29,0.324,0.544,0.17
$GNSS,2025-07-29T15:21:49.500Z,40.2683445,-111.635745,1649.666,-7.01,-10.49,10.45,0.324,0.543,0.17
$GNSS,2025-07-29T15:21:49.550Z,40.2683411,-111.6357511,1649.134,-7.35,-10.36,10.45,0.323,0.542,0.17
$GNSS,2025-07-29T15:21:49.600Z,40.2683377,-111.635757,1648.6,-7.58,-10.1,10.44,0.323,0.541,0.17
$GNSS,2025-07-29T15:21:49.650Z,40.268334,-111.6357629,1648.071,-7.93,-9.98,10.46,0.323,0.54,0.16
$GNSS,2025-07-29T15:21:49.700Z,40.2683303,-111.6357687,1647.531,-8.29,-9.84,10.56,0.322,0.539,0.16
$GNSS,2025-07-29T15:21:49.750Z,40.2683264,-111.6357744,1646.979,-8.61,-9.64,10.61,0.322,0.538,0.16
$GNSS,2025-07-29T15:21:49.800Z,40.2683224,-111.6357799,1646.436,-8.76,-9.46,10.65,0.322,0.537,0.16
$GNSS,2025-07-29T15:21:49.850Z,40.2683183,-111.6357853,1645.895,-9.05,-9.24,10.63,0.321,0.536,0.17
$GNSS,2025-07-29T15:21:49.900Z,40.268314,-111.6357906,1645.348,-9.38,-8.97,10.63,0.321,0.535,0.17
$GNSS,2025-07-29T15:21:49.950Z,40.2683097,-111.6357958,1644.801,-9.67,-8.81,10.71,0.321,0.534,0.17
$GNSS,2025-07-29T15:21:50.000Z,40.2683051,-111.6358008,1644.264,-9.93,-8.59,10.66,0.32,0.533,0.17
$GNSS,2025-07-29T15:21:50.050Z,40.2683005,-111.6358058,1643.73,-10.23,-8.42,10.57,0.32,0.532,0.17
$GNSS,2025-07-29T15:21:50.100Z,40.2682957,-111.6358106,1643.19,-10.49,-8.22,10.58,0.32,0.531,0.17
$GNSS,2025-07-29T15:21:50.150Z,40.2682909,-111.6358152,1642.655,-10.68,-7.91,10.6,0.32,0.529,0.17
$GNSS,2025-07-29T15:21:50.200Z,40.268286,-111.6358198,1642.116,-10.89,-7.71,10.63,0.319,0.528,0.17
$GNSS,2025-07-29T15:21:50.250Z,40.2682809,-111.6358242,1641.594,-11.13,-7.49,10.58,0.319,0.527,0.18
$GNSS,2025-07-29T15:21:50.300Z,40.2682757,-111.6358285,1641.07,-11.47,-7.31,10.56,0.319,0.526,0.17
$GNSS,2025-07-29T15:21:50.350Z,40.2682704,-111.6358326,1640.553,-11.71,-7.05,10.44,0.318,0.525,0.17
$GNSS,2025-07-29T15:21:50.400Z,40.2682651,-111.6358366,1640.039,-11.83,-6.74,10.35,0.318,0.524,0.18
$GNSS,2025-07-29T15:21:50.450Z,40.2682596,-111.6358404,1639.52,-12,-6.51,10.3,0.317,0.523,0.18
$GNSS,2025-07-29T15:21:50.500Z,40.268254,-111.6358441,1639.013,-12.3,-6.38,10.2,0.317,0.522,0.18
$GNSS,2025-07-29T15:21:50.550Z,40.2682483,-111.6358476,1638.509,-12.64,-6,10.15,0.317,0.521,0.18
$GNSS,2025-07-29T15:21:50.600Z,40.2682424,-111.6358509,1638.018,-12.94,-5.7,10.03,0.317,0.52,0.19
$GNSS,2025-07-29T15:21:50.650Z,40.2682366,-111.6358541,1637.542,-13.02,-5.44,9.79,0.317,0.518,0.19
$GNSS,2025-07-29T15:21:50.700Z,40.2682306,-111.6358572,1637.08,-13.18,-5.25,9.54,0.317,0.517,0.19
$GNSS,2025-07-29T15:21:50.750Z,40.2682246,-111.63586,1636.611,-13.32,-4.87,9.47,0.317,0.516,0.19
$GNSS,2025-07-29T15:21:50.800Z,40.2682184,-111.6358627,1636.153,-13.63,-4.63,9.39,0.317,0.515,0.19
$GNSS,2025-07-29T15:21:50.850Z,40.2682122,-111.6358652,1635.704,-13.74,-4.31,9.22,0.317,0.515,0.19
$GNSS,2025-07-29T15:21:50.900Z,40.2682059,-111.6358676,1635.261,-13.86,-4.03,8.98,0.317,0.514,0.17
$GNSS,2025-07-29T15:21:50.950Z,40.2681996,-111.6358698,1634.842,-13.98,-3.8,8.71,0.317,0.513,0.17
$GNSS,2025-07-29T15:21:51.000Z,40.2681932,-111.6358718,1634.431,-14.03,-3.48,8.51,0.317,0.513,0.17
$GNSS,2025-07-29T15:21:51.050Z,40.2681868,-111.6358737,1634.028,-14.19,-3.22,8.31,0.317,0.513,0.17
$GNSS,2025-07-29T15:21:51.100Z,40.2681803,-111.6358754,1633.622,-14.28,-2.96,8.19,0.317,0.513,0.16
$GNSS,2025-07-29T15:21:51.150Z,40.2681738,-111.635877,1633.231,-14.37,-2.74,8.04,0.317,0.513,0.16
$GNSS,2025-07-29T15:21:51.200Z,40.2681673,-111.6358785,1632.853,-14.38,-2.6,7.83,0.317,0.513,0.17
$GNSS,2025-07-29T15:21:51.250Z,40.2681608,-111.6358799,1632.484,-14.42,-2.41,7.59,0.317,0.513,0.16
$GNSS,2025-07-29T15:21:51.300Z,40.2681542,-111.6358812,1632.129,-14.48,-2.27,7.36,0.316,0.513,0.16
$GNSS,2025-07-29T15:21:51.350Z,40.2681476,-111.6358824,1631.793,-14.54,-2.04,7.17,0.316,0.513,0.16
$GNSS,2025-07-29T15:21:51.400Z,40.268141,-111.6358834,1631.46,-14.59,-1.85,6.96,0.316,0.512,0.16
$GNSS,2025-07-29T15:21:51.450Z,40.2681344,-111.6358845,1631.135,-14.56,-1.73,6.71,0.316,0.512,0.16
$GNSS,2025-07-29T15:21:51.500Z,40.2681278,-111.6358854,1630.818,-14.65,-1.6,6.46,0.316,0.512,0.16
$GNSS,2025-07-29T15:21:51.550Z,40.2681211,-111.6358862,1630.512,-14.65,-1.42,6.3,0.316,0.511,0.18
$GNSS,2025-07-29T15:21:51.600Z,40.2681145,-111.6358869,1630.223,-14.63,-1.31,6.17,0.316,0.51,0.18
$GNSS,2025-07-29T15:21:51.650Z,40.2681079,-111.6358876,1629.936,-14.67,-1.12,5.99,0.316,0.51,0.19
$GNSS,2025-07-29T15:21:51.700Z,40.2681012,-111.6358882,1629.654,-14.77,-1.06,5.76,0.316,0.509,0.19
$GNSS,2025-07-29T15:21:51.750Z,40.2680945,-111.6358887,1629.39,-14.77,-0.94,5.53,0.316,0.509,0.19
$GNSS,2025-07-29T15:21:51.800Z,40.2680879,-111.6358892,1629.124,-14.7,-0.91,5.38,0.316,0.509,0.19
$GNSS,2025-07-29T15:21:51.850Z,40.2680813,-111.6358896,1628.872,-14.59,-0.82,5.23,0.316,0.51,0.19
$GNSS,2025-07-29T15:21:51.900Z,40.2680748,-111.6358901,1628.632,-14.43,-0.78,5.07,0.316,0.509,0.2
$GNSS,2025-07-29T15:21:51.950Z,40.2680683,-111.6358906,1628.393,-14.39,-0.8,4.86,0.316,0.509,0.2
$GNSS,2025-07-29T15:21:52.000Z,40.2680618,-111.6358909,1628.163,-14.45,-0.65,4.7,0.316,0.508,0.2
$GNSS,2025-07-29T15:21:52.050Z,40.2680552,-111.6358912,1627.949,-14.52,-0.54,4.58,0.316,0.508,0.2
$GNSS,2025-07-29T15:21:52.100Z,40.2680487,-111.6358915,1627.73,-14.39,-0.46,4.55,0.317,0.507,0.23
$GNSS,2025-07-29T15:21:52.150Z,40.2680423,-111.6358918,1627.516,-14.28,-0.46,4.53,0.317,0.507,0.23
$GNSS,2025-07-29T15:21:52.200Z,40.2680359,-111.6358919,1627.309,-14.07,-0.34,4.31,0.317,0.506,0.24
$GNSS,2025-07-29T15:21:52.250Z,40.2680295,-111.6358921,1627.098,-14.13,-0.32,4.23,0.317,0.506,0.24
$GNSS,2025-07-29T15:21:52.300Z,40.2680232,-111.6358923,1626.904,-14.05,-0.29,4.17,0.317,0.505,0.24
$GNSS,2025-07-29T15:21:52.350Z,40.2680169,-111.6358924,1626.716,-13.97,-0.25,4.1,0.317,0.505,0.24
$GNSS,2025-07-29T15:21:52.400Z,40.2680106,-111.6358925,1626.532,-13.96,-0.17,3.91,0.317,0.504,0.24
$GNSS,2025-07-29T15:21:52.450Z,40.2680043,-111.6358925,1626.35,-13.95,-0.14,3.85,0.317,0.503,0.24
$GNSS,2025-07-29T15:21:52.500Z,40.267998,-111.6358927,1626.176,-13.85,-0.27,3.78,0.317,0.503,0.24
$GNSS,2025-07-29T15:21:52.550Z,40.2679918,-111.6358928,1626,-13.68,-0.27,3.73,0.318,0.502,0.24
$GNSS,2025-07-29T15:21:52.600Z,40.2679857,-111.6358929,1625.818,-13.54,-0.28,3.68,0.318,0.502,0.21
$GNSS,2025-07-29T15:21:52.650Z,40.2679796,-111.6358931,1625.654,-13.51,-0.36,3.54,0.318,0.502,0.21
$GNSS,2025-07-29T15:21:52.700Z,40.2679736,-111.6358933,1625.487,-13.38,-0.38,3.53,0.318,0.503,0.21
$GNSS,2025-07-29T15:21:52.750Z,40.2679676,-111.6358936,1625.324,-13.29,-0.42,3.48,0.318,0.502,0.22
$GNSS,2025-07-29T15:21:52.800Z,40.2679616,-111.6358939,1625.163,-13.21,-0.54,3.44,0.318,0.502,0.22
$GNSS,2025-07-29T15:21:52.850Z,40.2679556,-111.6358942,1624.999,-13.24,-0.66,3.42,0.318,0.501,0.22
$GNSS,2025-07-29T15:21:52.900Z,40.2679498,-111.6358946,1624.831,-13.09,-0.71,3.43,0.318,0.501,0.22
$GNSS,2025-07-29T15:21:52.950Z,40.2679438,-111.6358951,1624.66,-13.17,-0.75,3.55,0.318,0.501,0.22
$GNSS,2025-07-29T15:21:53.000Z,40.2679379,-111.6358955,1624.487,-13.02,-0.7,3.62,0.318,0.5,0.22
$GNSS,2025-07-29T15:21:53.050Z,40.2679321,-111.635896,1624.314,-12.88,-0.92,3.62,0.318,0.5,0.19
$GNSS,2025-07-29T15:21:53.100Z,40.2679265,-111.6358965,1624.139,-12.68,-0.95,3.56,0.318,0.499,0.19
$GNSS,2025-07-29T15:21:53.150Z,40.2679208,-111.6358971,1623.967,-12.63,-1.01,3.58,0.318,0.499,0.19
$GNSS,2025-07-29T15:21:53.200Z,40.2679151,-111.6358978,1623.788,-12.63,-1.26,3.62,0.318,0.498,0.21
$GNSS,2025-07-29T15:21:53.250Z,40.2679095,-111.6358985,1623.601,-12.42,-1.22,3.74,0.318,0.498,0.21
$GNSS,2025-07-29T15:21:53.300Z,40.2679039,-111.6358992,1623.421,-12.46,-1.32,3.78,0.318,0.497,0.21
$GNSS,2025-07-29T15:21:53.350Z,40.2678983,-111.6359,1623.236,-12.29,-1.43,3.83,0.318,0.498,0.18
$GNSS,2025-07-29T15:21:53.400Z,40.2678928,-111.635901,1623.043,-12.2,-1.66,3.84,0.318,0.498,0.18
$GNSS,2025-07-29T15:21:53.450Z,40.2678874,-111.635902,1622.849,-12.05,-1.81,3.95,0.318,0.498,0.18
$GNSS,2025-07-29T15:21:53.500Z,40.267882,-111.6359032,1622.653,-12,-1.95,4,0.317,0.497,0.18
$GNSS,2025-07-29T15:21:53.550Z,40.2678766,-111.6359043,1622.45,-11.88,-2.04,4.11,0.317,0.497,0.17
$GNSS,2025-07-29T15:21:53.600Z,40.2678713,-111.6359056,1622.246,-11.75,-2.24,4.22,0.317,0.496,0.17
$GNSS,2025-07-29T15:21:53.650Z,40.267866,-111.6359071,1622.035,-11.63,-2.44,4.32,0.316,0.496,0.17
$GNSS,2025-07-29T15:21:53.700Z,40.2678608,-111.6359086,1621.83,-11.51,-2.61,4.34,0.316,0.496,0.16
$GNSS,2025-07-29T15:21:53.750Z,40.2678556,-111.6359102,1621.617,-11.48,-2.8,4.36,0.315,0.496,0.17
$GNSS,2025-07-29T15:21:53.800Z,40.2678504,-111.6359119,1621.389,-11.43,-2.96,4.46,0.315,0.495,0.17
$GNSS,2025-07-29T15:21:53.850Z,40.2678453,-111.6359137,1621.153,-11.31,-3.08,4.61,0.315,0.495,0.17
$GNSS,2025-07-29T15:21:53.900Z,40.2678403,-111.6359157,1620.91,-11.15,-3.34,4.84,0.314,0.495,0.17
$GNSS,2025-07-29T15:21:53.950Z,40.2678353,-111.6359177,1620.663,-11.01,-3.48,4.92,0.314,0.495,0.17
$GNSS,2025-07-29T15:21:54.000Z,40.2678304,-111.6359199,1620.409,-10.93,-3.7,5.07,0.314,0.495,0.16
$GNSS,2025-07-29T15:21:54.050Z,40.2678255,-111.6359222,1620.146,-10.77,-3.92,5.24,0.314,0.495,0.17
$GNSS,2025-07-29T15:21:54.100Z,40.2678207,-111.6359246,1619.883,-10.7,-4.11,5.25,0.313,0.496,0.15
$GNSS,2025-07-29T15:21:54.150Z,40.2678159,-111.6359271,1619.61,-10.63,-4.29,5.4,0.313,0.497,0.15
$GNSS,2025-07-29T15:21:54.200Z,40.2678111,-111.6359298,1619.342,-10.54,-4.5,5.55,0.313,0.497,0.15
$GNSS,2025-07-29T15:21:54.250Z,40.2678064,-111.6359326,1619.048,-10.48,-4.68,5.83,0.313,0.498,0.15
$GNSS,2025-07-29T15:21:54.300Z,40.2678018,-111.6359355,1618.744,-10.23,-4.87,5.95,0.313,0.499,0.15
$GNSS,2025-07-29T15:21:54.350Z,40.2677972,-111.6359384,1618.44,-10.14,-5.04,5.96,0.313,0.499,0.15
$GNSS,2025-07-29T15:21:54.400Z,40.2677927,-111.6359416,1618.125,-10.09,-5.33,6.08,0.313,0.5,0.15
$GNSS,2025-07-29T15:21:54.450Z,40.2677882,-111.6359448,1617.806,-10.01,-5.44,6.24,0.312,0.501,0.15
$GNSS,2025-07-29T15:21:54.500Z,40.2677837,-111.6359482,1617.479,-9.86,-5.68,6.49,0.312,0.501,0.15
$GNSS,2025-07-29T15:21:54.550Z,40.2677794,-111.6359517,1617.147,-9.65,-5.91,6.68,0.312,0.502,0.15
$GNSS,2025-07-29T15:21:54.600Z,40.2677751,-111.6359553,1616.801,-9.58,-6.14,6.87,0.312,0.503,0.15
$GNSS,2025-07-29T15:21:54.650Z,40.267771,-111.635959,1616.446,-9.24,-6.32,7.03,0.312,0.503,0.16
$GNSS,2025-07-29T15:21:54.700Z,40.2677669,-111.6359628,1616.083,-9.15,-6.54,7.18,0.313,0.504,0.16
$GNSS,2025-07-29T15:21:54.750Z,40.2677628,-111.6359669,1615.712,-9.01,-6.85,7.38,0.313,0.504,0.16
$GNSS,2025-07-29T15:21:54.800Z,40.2677589,-111.6359709,1615.321,-8.95,-6.89,7.56,0.313,0.504,0.17
$GNSS,2025-07-29T15:21:54.850Z,40.2677549,-111.6359749,1614.927,-8.84,-6.96,7.79,0.313,0.504,0.17
$GNSS,2025-07-29T15:21:54.900Z,40.2677511,-111.6359792,1614.519,-8.54,-7.21,8.06,0.314,0.504,0.18
$GNSS,2025-07-29T15:21:54.950Z,40.2677473,-111.6359836,1614.1,-8.44,-7.45,8.28,0.314,0.505,0.18
$GNSS,2025-07-29T15:21:55.000Z,40.2677436,-111.6359881,1613.669,-8.23,-7.72,8.52,0.315,0.505,0.18
$GNSS,2025-07-29T15:21:55.050Z,40.26774,-111.6359928,1613.233,-7.9,-7.92,8.69,0.315,0.505,0.17
$GNSS,2025-07-29T15:21:55.100Z,40.2677365,-111.6359976,1612.803,-7.73,-8.06,8.81,0.316,0.505,0.17
$GNSS,2025-07-29T15:21:55.150Z,40.2677332,-111.6360024,1612.349,-7.51,-8.27,9.03,0.316,0.505,0.16
$GNSS,2025-07-29T15:21:55.200Z,40.2677299,-111.6360074,1611.873,-7.32,-8.53,9.18,0.317,0.505,0.17
$GNSS,2025-07-29T15:21:55.250Z,40.2677268,-111.6360125,1611.384,-7.1,-8.75,9.4,0.317,0.504,0.16
$GNSS,2025-07-29T15:21:55.300Z,40.2677238,-111.6360177,1610.906,-6.74,-8.88,9.59,0.316,0.504,0.16
